ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1_1,Q.1_2,Q.2_1,Q.2_2,Q.2_3,Q.2_4,Q.2_5,Q.2_6
m8965753490,51,東京都,男性,未婚,会社員（契約・派遣社員）,医療・福祉,300万～400万未満,賃貸（アパート）,なし,1,0,1,1,0,0,0,0
m8982763468,62,神奈川県,男性,既婚,会社員(正社員),商社・卸売り・小売業,600万～700万未満,持ち家（マンション）,あり,1,0,1,0,1,1,0,0
m8998531767,64,東京都,男性,既婚,経営者・役員,調査業・シンクタンク,"1,200万～1,500万未満",持ち家（マンション）,なし,1,0,1,0,0,0,0,0
m8998358657,38,埼玉県,男性,未婚,無職,勤めていない,"900万～1,000万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m899024559,68,東京都,男性,未婚,自営業,製造業,400万～500万未満,持ち家（一戸建て）,なし,1,0,1,0,1,0,0,0
m8998293457,73,埼玉県,男性,既婚,無職,勤めていない,500万～600万未満,持ち家（一戸建て）,なし,1,0,0,0,1,0,0,0
m8994921318,51,東京都,男性,未婚,会社員(正社員),サービス業,800万～900万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m899458431,51,東京都,男性,未婚,会社員（契約・派遣社員）,医療・福祉,300万～400万未満,賃貸（アパート）,なし,1,0,1,1,0,0,0,0
m899371365,80,大阪府,男性,既婚,無職,勤めていない,300万～400万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8998241232,51,京都府,女性,既婚,会社員(正社員),製造業,500万～600万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m8998653566,46,宮城県,男性,既婚,会社員(正社員),情報通信業,600万～700万未満,持ち家（マンション）,あり,1,0,1,0,0,0,0,0
m89928156,63,大阪府,女性,既婚,専業主婦,勤めていない,"1,500万～1,800万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8992442845,46,愛知県,男性,既婚,会社員(正社員),製造業,700万～800万未満,持ち家（一戸建て）,あり,1,0,0,0,1,1,0,0
m896328490,37,神奈川県,男性,未婚,会社員(正社員),教育業,400万～500万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8992764115,52,千葉県,女性,既婚,専業主婦,勤めていない,300万～400万未満,持ち家（マンション）,なし,1,0,1,1,0,0,0,0
m899551122,61,富山県,女性,既婚,会社員(正社員),製造業,"2,000万以上",賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8992556211,41,東京都,男性,既婚,会社員(正社員),建設業,"1,200万～1,500万未満",賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8994689896,76,兵庫県,男性,既婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899882840,66,秋田県,男性,既婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m8998248351,49,大阪府,女性,未婚,会社員(正社員),教育業,400万～500万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8965527933,39,神奈川県,男性,既婚,会社員(正社員),製造業,100万～200万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8984936031,64,岡山県,男性,既婚,自営業,不動産業,600万～700万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8998618970,56,神奈川県,女性,既婚,会社員(正社員),製造業,700万～800万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8998755822,52,愛知県,男性,既婚,会社員(正社員),サービス業,600万～700万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8988236966,38,大阪府,女性,未婚,会社員(正社員),情報通信業,700万～800万未満,持ち家（マンション）,なし,1,0,1,0,0,0,1,0
m89939773,57,東京都,女性,既婚,パート・アルバイト,サービス業,"1,200万～1,500万未満",持ち家（マンション）,なし,1,0,1,0,0,0,0,0
m8996843545,66,広島県,女性,未婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8990449118,61,岩手県,女性,既婚,専業主婦,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998335352,46,兵庫県,女性,既婚,専業主婦,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8984033529,39,奈良県,女性,既婚,会社員(正社員),商社・卸売り・小売業,800万～900万未満,持ち家（マンション）,なし,1,0,1,0,1,0,0,0
m899119031,69,埼玉県,男性,既婚,パート・アルバイト,医療・福祉,500万～600万未満,持ち家（マンション）,あり,1,0,1,1,1,0,0,0
m8984389051,51,北海道,男性,既婚,会社員(正社員),金融・証券・保険業,800万～900万未満,社宅,あり,1,0,0,1,0,0,0,0
m8998499370,52,鳥取県,女性,既婚,専業主婦,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899816922,58,岐阜県,女性,既婚,専業主婦,勤めていない,700万～800万未満,持ち家（一戸建て）,あり,1,0,0,0,1,1,0,0
m8998875593,46,神奈川県,女性,未婚,パート・アルバイト,教育業,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8994209434,39,北海道,女性,未婚,会社員（契約・派遣社員）,情報通信業,300万～400万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m899355239,74,埼玉県,男性,既婚,無職,勤めていない,500万～600万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m899535463,71,東京都,女性,既婚,専業主婦,勤めていない,700万～800万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8995611835,72,愛知県,男性,既婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,1,0,0,1,1,0,0,0
m8994831152,43,岩手県,男性,既婚,パート・アルバイト,建設業,700万～800万未満,持ち家（一戸建て）,あり,1,0,1,1,1,1,1,0
m899516473,51,岐阜県,男性,未婚,会社員(正社員),勤めていない,400万～500万未満,賃貸（一戸建て）,なし,1,0,0,1,0,0,0,0
m899417391,73,大阪府,男性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8981731730,30,大阪府,女性,既婚,専業主婦,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998297087,63,栃木県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998618159,44,北海道,男性,未婚,会社員(正社員),運送・輸送業,100万～200万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8985208760,58,愛知県,女性,既婚,パート・アルバイト,商社・卸売り・小売業,800万～900万未満,持ち家（一戸建て）,あり,1,0,1,0,0,1,0,0
m8998271400,41,東京都,男性,未婚,会社員(正社員),出版・印刷業,200万～300万未満,賃貸（マンション）,なし,1,0,1,0,0,0,0,0
m8995607042,63,広島県,男性,既婚,会社員(正社員),製造業,800万～900万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8988238994,49,埼玉県,男性,未婚,会社員(正社員),サービス業,400万～500万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8994073086,73,東京都,男性,既婚,会社員(正社員),その他,700万～800万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8993872228,50,大阪府,男性,未婚,自営業,製造業,500万～600万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89988787165,34,鹿児島県,男性,未婚,会社員(正社員),医療・福祉,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998717559,54,神奈川県,男性,未婚,会社員(正社員),製造業,"1,000万～1,200万未満",賃貸（一戸建て）,なし,1,0,1,0,0,0,0,0
m8998642074,73,静岡県,男性,既婚,パート・アルバイト,教育業,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m899366457,57,埼玉県,男性,既婚,会社員(正社員),製造業,"1,500万～1,800万未満",持ち家（一戸建て）,あり,1,0,1,1,0,0,0,0
m8965261054,59,熊本県,男性,既婚,会社員(正社員),サービス業,400万～500万未満,賃貸（アパート）,あり,0,1,0,0,0,0,0,0
m89923610,55,神奈川県,男性,未婚,自営業,情報通信業,100万未満,賃貸（アパート）,なし,1,0,0,1,0,0,0,0
m8994136719,67,熊本県,女性,既婚,専業主婦,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8965501760,44,北海道,男性,未婚,会社員(正社員),運送・輸送業,100万～200万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8998524804,39,神奈川県,男性,既婚,会社員(正社員),電気・ガス・水道業,100万～200万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8995188881,74,北海道,女性,未婚,パート・アルバイト,その他,100万～200万未満,持ち家（一戸建て）,なし,1,0,1,1,1,1,1,0
m8994136882,67,熊本県,男性,既婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8993932064,40,北海道,男性,未婚,自営業,その他,700万～800万未満,持ち家（一戸建て）,なし,1,0,1,1,1,1,1,0
m8998583270,62,三重県,男性,既婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,1,0,1,1,1,0,1,0
m8992244157,34,山口県,女性,未婚,パート・アルバイト,商社・卸売り・小売業,400万～500万未満,持ち家（一戸建て）,なし,1,0,0,0,0,1,0,0
m8998420137,70,東京都,男性,既婚,パート・アルバイト,非営利団体,200万～300万未満,持ち家（マンション）,あり,1,0,0,0,0,0,0,1
m8998312062,72,北海道,男性,既婚,会社員（契約・派遣社員）,その他,500万～600万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8998245010,60,富山県,男性,既婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899336323,83,大阪府,男性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,1
m8998485398,53,福岡県,男性,既婚,会社員(正社員),情報通信業,500万～600万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m899875217,59,千葉県,男性,既婚,会社員(正社員),サービス業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8993010110,49,長崎県,男性,既婚,会社員(正社員),サービス業,"1,800万～2,000万未満",持ち家（一戸建て）,あり,1,0,1,1,1,1,1,0
m899149195,47,東京都,女性,未婚,会社員(正社員),製造業,"1,000万～1,200万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998554345,73,神奈川県,女性,既婚,専業主婦,勤めていない,400万～500万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8981327586,23,神奈川県,女性,既婚,専業主婦,勤めていない,500万～600万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8962964683,60,千葉県,女性,既婚,パート・アルバイト,医療・福祉,200万～300万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8960997694,50,高知県,男性,未婚,会社員(正社員),情報通信業,"900万～1,000万未満",持ち家（マンション）,なし,1,0,0,1,0,0,0,0
m899852724,59,兵庫県,男性,既婚,経営者・役員,不動産業,"1,800万～2,000万未満",持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8988226351,51,神奈川県,男性,未婚,会社員(正社員),製造業,"1,000万～1,200万未満",持ち家（一戸建て）,なし,1,0,0,0,0,0,0,1
m8998449474,54,福岡県,男性,既婚,会社員(正社員),運送・輸送業,700万～800万未満,賃貸（マンション）,あり,1,0,1,1,1,1,1,0
m899274832,57,神奈川県,男性,未婚,会社員(正社員),商社・卸売り・小売業,500万～600万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m899803680,48,茨城県,女性,未婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998302003,53,山形県,女性,既婚,会社員(正社員),その他,"2,000万以上",持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8968472153,41,高知県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,1,0,0,0,0,1,0,0
m899434665,59,東京都,男性,既婚,自営業,サービス業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8994386575,49,北海道,男性,既婚,自営業,情報通信業,800万～900万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8985639530,41,千葉県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998272780,40,大阪府,男性,既婚,会社員(正社員),建設業,500万～600万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998399589,69,熊本県,男性,既婚,経営者・役員,不動産業,"2,000万以上",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8995334561,53,北海道,男性,既婚,自営業,不動産業,700万～800万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8998515053,78,大阪府,男性,既婚,無職,勤めていない,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998484572,70,愛媛県,女性,既婚,専業主婦,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8994983262,67,東京都,男性,既婚,無職,勤めていない,"1,000万～1,200万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8998412610,48,山口県,女性,既婚,専業主婦,勤めていない,700万～800万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m89909554,72,岡山県,女性,未婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,なし,1,0,0,0,1,0,0,0
m8996470162,64,東京都,男性,既婚,会社員(正社員),サービス業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,1,0,0,0,0,0,0,1
m89967922,50,神奈川県,男性,未婚,会社員(正社員),運送・輸送業,700万～800万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8996523574,66,山口県,男性,既婚,パート・アルバイト,製造業,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89989367,68,福岡県,女性,未婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8984317608,28,福岡県,女性,未婚,専業主婦,勤めていない,100万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8992764139,50,宮城県,女性,既婚,会社員（契約・派遣社員）,医療・福祉,"1,000万～1,200万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8998372355,62,広島県,男性,既婚,会社員(正社員),製造業,"1,000万～1,200万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899324494,52,東京都,男性,未婚,会社員(正社員),運送・輸送業,600万～700万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8961671627,43,愛知県,男性,未婚,会社員(正社員),製造業,100万～200万未満,賃貸（アパート）,なし,1,0,0,0,1,0,0,0
m8998298141,54,兵庫県,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998476784,49,宮城県,男性,未婚,会社員(正社員),サービス業,200万～300万未満,賃貸（アパート）,あり,1,0,0,1,0,0,0,0
m8998340400,61,東京都,男性,既婚,自営業,サービス業,400万～500万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m899355174,71,兵庫県,男性,既婚,経営者・役員,建設業,"1,000万～1,200万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899725720,38,兵庫県,男性,未婚,パート・アルバイト,製造業,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8992891808,67,北海道,女性,未婚,無職,勤めていない,100万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m899038126,56,埼玉県,男性,未婚,会社員(正社員),サービス業,400万～500万未満,持ち家（マンション）,なし,1,0,0,1,0,0,0,1
m8998821003,78,千葉県,男性,既婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899394034,34,千葉県,女性,未婚,会社員(正社員),商社・卸売り・小売業,"900万～1,000万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998763413,49,青森県,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8961728043,57,長野県,男性,既婚,会社員(正社員),建設業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8961813236,48,埼玉県,男性,既婚,会社員(正社員),製造業,700万～800万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8985209387,41,東京都,女性,未婚,会社員(正社員),サービス業,500万～600万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8998721932,72,愛知県,男性,既婚,無職,勤めていない,800万～900万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8994081563,70,神奈川県,男性,既婚,パート・アルバイト,サービス業,100万～200万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8998855382,50,神奈川県,女性,既婚,パート・アルバイト,金融・証券・保険業,300万～400万未満,持ち家（マンション）,あり,1,0,0,0,0,1,0,0
m8990723150,53,兵庫県,男性,既婚,会社員(正社員),情報通信業,"900万～1,000万未満",持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8995559598,56,神奈川県,男性,未婚,会社員(正社員),製造業,"900万～1,000万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8996469425,75,宮城県,男性,未婚,無職,勤めていない,800万～900万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998243169,47,東京都,女性,未婚,パート・アルバイト,建設業,500万～600万未満,賃貸（アパート）,あり,1,0,1,0,0,0,1,0
m8995286627,73,兵庫県,男性,既婚,無職,勤めていない,"2,000万以上",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8998677815,67,埼玉県,女性,未婚,会社員(正社員),出版・印刷業,"900万～1,000万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m899424249,57,大阪府,男性,未婚,自由業,サービス業,200万～300万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8965475833,50,東京都,女性,未婚,会社員(正社員),その他,300万～400万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8998435213,69,大阪府,男性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8991729696,64,福岡県,男性,既婚,会社員（契約・派遣社員）,その他,200万～300万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8996343,51,神奈川県,女性,既婚,専業主婦,勤めていない,"1,200万～1,500万未満",社宅,あり,0,1,0,0,0,0,0,0
m8998934697,55,大阪府,女性,未婚,自営業,商社・卸売り・小売業,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8963851277,52,埼玉県,女性,既婚,専業主婦,勤めていない,100万～200万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8961625851,31,福井県,男性,既婚,自由業,金融・証券・保険業,400万～500万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8998324483,59,岐阜県,男性,既婚,会社員(正社員),運送・輸送業,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8966010413,45,福岡県,男性,既婚,会社員(正社員),商社・卸売り・小売業,700万～800万未満,持ち家（マンション）,なし,1,0,1,1,1,1,1,0
m8995236630,76,東京都,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m898161051,59,新潟県,男性,既婚,自由業,その他,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m899310203,50,大阪府,女性,既婚,自営業,サービス業,"900万～1,000万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8965515123,38,神奈川県,女性,既婚,パート・アルバイト,商社・卸売り・小売業,200万～300万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m899603095,59,東京都,女性,既婚,専業主婦,勤めていない,"900万～1,000万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8992136401,49,千葉県,女性,未婚,無職,勤めていない,300万～400万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
